,tweet,existence,existence.confidence
4309,senat unveil april global warm swindl video oohja,No,0.6478
3582,histor storm washington third explain snow heavili global warm immin,No,1.0
1520,indonesia program look reduc global warm plant tree maintain natur,Yes,0.6881
1783,climat exec testifi global warm panel,Neutral,0.7021
9,global warm impact wheat product india ludhiana scarciti water seriou,Yes,1.0
187,impact climat chang extend human health,Yes,1.0
1294,climat chang place befor disappear america photo,Yes,0.6708
5049,mock global warm sinc snow,No,0.6602
3859,climat chang blast greenpeac,Neutral,1.0
4013,knife parti present coalit will anim onlin global warm,Neutral,0.6096
4529,india global warm panel,Neutral,0.708
2571,click world peac global warm where,Yes,0.6624
2885,water climat chang impact expert yahoo retwt,Yes,1.0
1967,gawker logic report lindsey graham climat chang polidick,Neutral,1.0
687,graham climat chang,Yes,0.5059
3706,histor storm washington third explain snow heavili global warm immin,No,0.6528
2477,lunch import global warm respons youtub watch fgahiwdzrni,Neutral,0.7732
2255,warm global warm kiddo florida think newyork wait,Yes,0.6399
4490,global warm protect shield atlant hurrican increas drought lenpp,Yes,0.6491
2653,prospect climat chanc forg bind agreement climat chang small,Neutral,0.5199
5258,climat chang increas wave flood washington reuter death wave properti tinyurl,Yes,1.0
3284,senat offer legisl combat climat chang,Yes,1.0
2645,senat prepar compromis climat chang reuter dipfag,Neutral,0.6733
4364,tear whole global warm theori apart piec piec debat close mind,No,0.6476
4142,global warm straight show tumblr,Yes,0.6805
5740,rupert murdoch fact straight climat chang biuhb foxnew globalwarm saveterra,Neutral,0.6459
3592,month global warm mean robert kennedi fli around,No,0.5172
4684,global warm fraud bjxtzq celebr,Yes,1.0
167,resort fight global warm resort across use thanksgiv,Yes,1.0
1515,ocean current still strong despit global warm research discov ocean current oohja xamjc,Yes,1.0
1369,climat chang endang place newsweek retwt,Yes,0.7096
5411,global warm movement fraud fudg prove hypothesi scienc,No,1.0
2249,freakonom climateg victim state global warm problem though angl,No,0.3687
2548,rubbish climat chang someon could enough action,No,0.3711
2931,global warm scienc cyhzw,Neutral,1.0
987,washington there green movement littl global warm,Neutral,0.6004
800,american media put climat chang watch,Neutral,0.754
1617,busi creat climat chang action cleantechnica cadhur,Yes,0.6379
5851,letter spring freez global warm skeptic april minneapoli believ ayrrod,Yes,0.6565
3040,explor relationship climat chang messag behaviour reader wire climat chang akzlwn,Neutral,0.6663
3459,climat chang blizzrd rearrang announc global warm offic cjiqdh,No,0.883
3170,minist climat chang action,Neutral,0.6829
1869,scienc friday global warm,Yes,1.0
466,effort remak america energi futur fight global warm could harm spur oilspil,Yes,1.0
5397,scientist comput model predict climat chang attack,Yes,0.7025
5529,googl climat chang chief want price carbon environ guardian retwt,Yes,1.0
2411,complet guid modern climat chang climat progress retwt,Yes,0.6427
224,carbon offset vatican forest fail reduc global warm,Yes,1.0
4771,thousand without power blizzard vote global warm dipshit,No,0.6978
888,climat scientist newspap poison global warm debat,Neutral,0.8133
3363,consist global warm scientist telegraph bddtsb,Yes,0.7084
2426,declin global warm environment factor varieti rebound late howev,Yes,1.0
1066,ditch cardio rapid scream climat chang clinic trial collagen cliniqu,Neutral,0.8237
1456,fight climat chang front climatechang saveterra,Yes,1.0
5168,tweet climat chang,No,0.6977
4959,further scientist disagre major scientist accept realiti climat chang,Yes,1.0
3176,short snowmageddon snow obama global warm activist youtub watch fdnwozechjg teaparti,No,0.6534
4877,stupid peopl think these winter storm mean there thing global warm stupid,No,0.6795
4269,bibl anyth global warm ginorm sens entitl global warm,Neutral,1.0
4832,climat chang legisl dvfhcl,Neutral,1.0
50,white hous correspond dinner green report climat chang never,Neutral,1.0
4447,first global cool global warm climat chang weather simpl,No,1.0
4174,global warm could world fragrant london major scientif review indic,Yes,0.6844
5444,inconveni youth teen fight climat chang retwt,Yes,0.662
1695,kindl controversi hansen mckibben revkin lomborg climat chang guru thur ddycu,Neutral,1.0
5694,kerri climat chang could first get comprehens clean energi polici tinyurl,Yes,1.0
71,religi climat chang,Neutral,0.9514
2762,climat chang glacier acrtic melt retwt,Yes,0.6678
5325,obama climat chang agenda turmoil stori retwt,Neutral,0.7083
322,climat chang make sneez,Yes,1.0
5241,separ power climat chang action promis state union,Neutral,1.0
529,spring come earlier climat chang,Yes,0.8029
5222,global warm updat storm impact these citi receiv time snowfal,Yes,0.6283
1176,review yesterday discuss scienc mobil fight climat chang rebekah mintzer,Yes,1.0
2439,global warm,Yes,1.0
4198,democrat parti support prostitut abort homosexu nambla global warm acorn atheist,No,0.6882
2778,climat chang polici project offic bristol benefit guardian retwt,Neutral,0.6961
3675,conserv suspend california global warm rdljf,Neutral,0.6632
2549,global warm slowli pana gilaaa,Yes,1.0
5544,report allergi season wors climat chang found global warm like increas pollen count,Yes,1.0
2737,sleet outsid global warm,Neutral,0.6921
1893,climat scientist newspap poison global warm debat xfbda earthday happi earth,Neutral,0.6952
1600,scienc scientist explor evolut climat chang,Yes,1.0
1303,larri brilliant tedxvolcano fight scienc singl import thing climat chang socmedia,Yes,1.0
815,climat chang ident,Neutral,0.7994
193,watch video climat chang threaten sacr tibetan mountain includ known shangri,Yes,1.0
1722,connecticut global warm senat candid might assum regardless oohja xbiwf,No,0.3545
4936,yachtsmen marin paradis global warm yachtsman wildlif ocean paradis galapago oohja,Yes,0.6549
1321,cochabamba summit offer approach combat climat chang,No,0.3717
2988,cite global warm secur threat worri planet terrorist undi,No,1.0
5489,matter believ global warm better money resourc,Neutral,1.0
2842,feder climat chang agenc form dmogra nation ocean servic,Neutral,1.0
2017,volcan erupt global warm lacerta imperfor milwauke suav centrifug,Neutral,0.5148
576,cleaner could speed global warm pollut,Yes,0.818
1222,global cooper prevent runaway climat chang secretari unit nation seek dialogu slevh,Yes,1.0
773,tout global warm depart littl arkansa lawmak author legisl creat,Neutral,0.8618
2800,spectat print polit global warm guerrilla thtml global warm guerrilla,Neutral,0.6749
310,global warm impact wheat product india ludhiana scarciti water seriou,Yes,1.0
1408,allergi jonah goldberg blame global warm magazin allergi wors blame cpxcfz,Yes,0.6757
4988,state planet confer connect voic global challeng climat chang poverti,Yes,0.7798
545,explos volcano global warm,Yes,1.0
1140,whale doodoo could fight climat chang jwccb,Yes,1.0
1569,reinvent citi climat chang green live idea cpfcze citi climat,Yes,1.0
5655,senat prepar compromis climat chang,Neutral,0.6538
2522,blankenship call safeti regul silli global warm,No,0.6615
4837,queen colleg geologist journey antarctica studi global warm,Yes,0.6618
1435,allergi wors blame global warm thank unusu snowi winter follow ajksz,Yes,1.0
3680,robert eshelman world peopl confer climat chang right mother earth kick boliv cwnac,Yes,0.6038
4598,caus global warm,No,0.6866
5131,seem climat chang skeptic challeng,Neutral,0.6365
5672,crank support world climat chang bolivia watch cmpcc,Yes,0.6949
5854,recycl climat chang,Yes,0.6559
3029,climat chang phrase global warm month,Yes,0.4577
4575,smith warn climat chang argument undermin climateg bknzgh,Yes,0.6397
3709,drift global warm fire,No,0.6413
5623,centuri climat chang caus chicago texa accord ecologist rigggghhhht tinyurl,No,0.6971
5090,arctic climat chang faster expect reuter reuter climat chang transform arctic,Yes,1.0
901,volcano global warm stori,Yes,0.507
1359,climat chang endang place newsweek retwt,Yes,1.0
4255,nevadan skeptic global warm statewid show percent nevadan think global oohja,Neutral,0.5138
2717,switch global warm weloveblg,No,0.6749
5598,serial earthquak global warm global quak,Neutral,0.6609
2939,india seek clariti equiti climat chang retwt,Yes,1.0
5437,interact climat chang expert reveal hope fear environ fizcx,Neutral,0.6731
2750,americablog right winger alreadi claim blizzard prove climat chang ipvqm,Yes,0.6851
1920,saarc plan expert group climat chang cotaml,Yes,0.672
5232,obama battl global warm biofuel initi track doubt climat chang legisl oohja,Yes,0.6783
3391,comedian oberstar washingtonian count global climat chang,Neutral,0.6575
966,global warm oxburgh inquiri offer refus oxburgh request chair,Neutral,1.0
2398,anoth anoth proof climat chang climateg bunch hooey,Yes,0.5996
36,tornado race across mississippi global warm tornadocot tycot,No,1.0
4494,settl global warm scienc sloppi accord report publish aynzej,No,0.7087
5516,cochabamba climat chang anoth summit anoth retwt,Neutral,0.6814
3674,great articl explain reason peopl convinc ipcc global warm claim tinyurl,No,0.7191
707,politico stori state climat chang immigr,Neutral,0.8149
5756,beauchamp global warm skeptic stupid earth red architect jame theimer adqeh,No,0.6678
5509,polit climat chang retwt,Neutral,0.6761
2406,ecolog base theolog global warm unclear care creation command stewardship,Neutral,1.0
947,brook shield upset report global warm doesn exist,Neutral,0.5889
409,climat chang allergi get wors,Yes,1.0
642,global warm caus fungu fortun global warm,No,0.6114
3430,msnbc ratigan blame snowpocalyps global warm,Yes,0.6619
1704,immigr reform climat chang issu senat,Neutral,0.8842
2455,gingrich defend global warm commerci pelosi dcwxcg,Yes,1.0
2913,water climat chang impact expert retwt,Yes,0.67
3479,laughabl blizzard rearrang climat chang announc czaap,No,0.4751
1678,despit climateg invest heavili global warm hysteria impos intern control human freedom,Yes,0.6568
6061,natur resourc krugman climat chang,Yes,0.6474
3101,sarah palin call global warm studi snake scienc,No,0.6678
4882,revenu neutral climat chang legisl,Yes,0.7006
3774,home subject climat chang pictur,Yes,1.0
627,cope global warm util bill dealman post dealman actual,Yes,0.5532
3664,bogu global warm consensu fade,No,1.0
4110,india global warm panel sahji,Neutral,0.6397
4830,thank global warm washington would,Yes,0.6389
406,leader climat chang alway burner,Yes,1.0
1999,contribut global warm deplet ozon layer sometim,No,0.6481
5252,equiti climat chang billion britain quot compani earlier worri,Neutral,1.0
4718,global warm come,Yes,0.6759999999999999
3685,effort underway suspend california global warm margot roosevelt time,Neutral,1.0
4719,global warm come,Yes,0.6835
995,photo protest valero initi would chang california landmark climat,Neutral,0.7967
1930,dedic persist necessari homegrown hydropon climat chang clinic trial collag cqollt,Neutral,0.5144
5530,major leagu basebal team throw curv climat chang denier cejlto,Yes,1.0
3597,month global warm mean,Neutral,1.0
5709,earth move dynam forc shape planet volcan activ caus global winter global warm,No,0.6651
908,crunch climat chang,Neutral,0.6017
1081,senat prepar compromis climat chang washington reuter month introduc sweepi,Neutral,1.0
3279,oppon state global warm boost smith lanc william great smith oohja,Neutral,0.6922
4586,earth polar sheet vulner moder global warm orlean southern,Yes,0.6824
2752,americablog right winger alreadi claim blizzard prove climat chang tinyurl ycatc,No,0.7075
5117,energi global warm februari activist dthmq,Neutral,0.6596
5116,examin global warm grand valley level issu global warm topic debat oohja,Neutral,0.6868
3186,work reduc carbon footprint demand action climat chang sign earthhour,Yes,0.6684
535,ocean salti show global warm intensifi water cycl treehugg,Yes,1.0
4621,like msnbc contessa brewer claim heavi snowfal prove global warm,Yes,0.6684
5467,world peopl confer climat chang retwt,Yes,0.6927
5083,climat chang great unravel americanperspect climat chang great unravel,No,0.6689
4606,global warm evid,No,0.5079
4770,grrrr global warm major snowstorm within,No,1.0
2749,globe columnist exagger signific error climat scientist climat chang tinyurl,Neutral,0.5121
5817,believ evid climat chang caus earthquak volcano espritsdefoli heard tumblr,Yes,0.6854
4919,obama administr form agenc climat chang tinyurl yehh,Neutral,1.0
2682,indigenist world peopl confer climatfer climat chang right chang,Neutral,1.0
1835,tour kindl sleev yellow global warm advic,Neutral,0.6845
4736,invas speci climat chang oeoga,Yes,0.654
5943,valero want global warm boycottvalero,Yes,0.6936
5001,despit sceptic climat chang remain prioriti bgwsvu,Yes,1.0
1424,sign earthday petit action climat chang ainwzm,Yes,1.0
3508,announc climat chang portal climat plan climat servic provid climat,Yes,0.6890000000000001
4228,feder climat chang agenc form biggovern climateg carbontax capntrad regul,Neutral,0.6478
2009,state global warm vote madison there might enough vote aslsek,Neutral,1.0
2018,chapmanu climat chang confab open knott studio arctic live,Yes,1.0
3456,mother natur reinforc global warm conspiraci bring,No,1.0
2967,african youth initi climat chang african youth initi climat chang retwt,Yes,0.6354
3282,read snowstorm global warm make blizzard wors,Yes,0.685
3730,overwhelm evid global warm fall teaparti obama,No,1.0
435,allergi wors blame global warm thank unusu snowi winter follow,Yes,1.0
4433,global warm video,Yes,0.6653
3493,pablo impact volcano iceland climat chang,Yes,1.0
3468,warn anoth girl still aquanet speed global warm process,No,1.0
720,view global warm three countri angu global monitor peopl three countri,Neutral,1.0
1417,greenpeac global warm involv greenpeac,Yes,1.0
5324,white hous want church advanc climat chang agenda kosmosnet retwt,Yes,0.7151
2166,make climat chang,Yes,0.5148
3060,india form climat chang telegraph retwt,Neutral,1.0
2247,major media downplay intern summit climat chang cochabamba,Yes,0.6583
5466,pablo impact volcano iceland climat chang retwt,Yes,1.0
5069,drunk bloggin global warm fiasco happen speak backyard climat chang,No,0.3743
4299,feder climat chang agenc form angel time,Yes,0.6511
5495,geoengin chang climat convers cleantech,Yes,0.6948
2495,cloudcomput cloud comput climat chang cykkjm,Neutral,1.0
645,scientif commun scame global green warm,No,1.0
35,degre pleas urin liber global warm climat chang,No,1.0
1647,declin global warm current polici lie world climateg,No,1.0
4458,california global warm halt focu latim local ballot warm stori,Neutral,1.0
3912,doubt global warm vancouv warmest winter record call trend,Yes,1.0
5294,climat chang victim immigr reform retwt,Yes,1.0
5922,chang system climat earthday organ consum assoc,Yes,0.6786
315,rather buri iceland glacier global warm volcano,Yes,0.7959
5640,check global warm blame iceland volcan erupt freedom bmsrqp climateg green,Yes,0.6778
5239,nytim california statewid network monitor global warm gase,Yes,1.0
2956,error climat chang report telegraph retwt,No,0.6227
4612,think negat global warm littl topic,Yes,1.0
3144,stuff senat hear global warm cancel weather weather either,No,1.0
5152,around superior check global warm someth coupl decid oohja,Neutral,0.6848
1731,foxnew koprowski seek expert audit climat chang report,Neutral,1.0
4184,white hous propos agenc studi climat chang comment,Neutral,0.6741
1248,import event struggl against climat chang nigerian environmentalist nnimmo bassey,Yes,0.6486
2458,question effect global chang climat chang chang,Yes,1.0
5445,webcast global climat chang issu humanitarian retwt,Yes,0.6714
5554,obama china climat chang retwt,Yes,1.0
1997,meredith vieira talk global warm today januari bitzb,Neutral,0.5179
4518,back climat chang washington appear appetit attack problem global aepgpr,Neutral,0.3567
916,initi campaign suspend global warm report rais valero,Neutral,1.0
724,legisl steamrol kathryn lopez april bloomberg immigr climat chang legisl,Neutral,0.8222
1335,coalit tire wait fight climat chang ground level hkvfi cleantech,Yes,0.657
2919,matter believ global warm better money resourc,Neutral,0.6276
2554,global warm point return studi suggest,Yes,0.6459999999999999
2932,error climat chang report retwt,Neutral,0.6359
3781,india form climat chang nzmoa,Neutral,0.688
5517,matter believ global warm better money resourc,Neutral,0.6899
2216,obama climat chang agenda turmoil crotchshotradio obama climat chang agenda turmoil,Neutral,1.0
4903,feder climat chang agenc be form feder agenc charg report climat chang axzikn,Neutral,0.6336
4779,quick someth obama need distract again world go caus global warm,No,1.0
4958,ellen hart hart address global warm retrain worker green congress,Yes,0.6608
2594,pilgrimag montana glacier nation global warm climat chang,Neutral,0.6674
1384,carbon kill climat chang legisl action sierraclub messageview,Yes,1.0
1686,call bluff climat chang,Neutral,0.6647
3287,drudg acknowledg global warm game vancouv climat,Yes,1.0
2205,siegel scientif societi revis climat chang statement scienc advanc reason seem doubt abtvmu,Neutral,0.6564
1679,obama minut earth video fail mention global warm bbzwxd,No,0.7043
3204,climat chang weather differ teaparti glennbeck,No,1.0
2521,obama suprem pick tri climat chang hurri hurri melt stimuli slush daddi,Yes,0.5127
2378,vote climat chang seed angu compens artist liber enviro motion pass cdnpoli,Neutral,0.3475
5830,matthew urg jame cameron trash danger global warm denier right media daeeii,Yes,0.6857
4901,fisheri manag feder climat chang agenc form,Yes,1.0
1269,waterfront climat chang consider asqdr,Yes,1.0
363,busi creat climat chang action cleantechnica,Neutral,1.0
5228,shape global approach climat chang davo denmark month copenhagen,Yes,0.6789
5024,conserv suspend california global warm chdtxe,Neutral,0.6678
2004,climat scientist newspap poison global warm debat andrew weaver report bjpymp,Neutral,0.6901
4734,climat group admit mistak offici intergovernment panel climat chang unit nation sponso zynkv,No,0.6964
2695,global warm avail facebook twitter orkut linkedin recent interview rohini,Neutral,1.0
5889,british lawyer want throw global warm doubter brnex nobama taxandtrad,Yes,0.478
4354,global warm calif program delay initi misl intlawctr latjbrown,Neutral,0.7042
2555,impact global warm green myloc,Yes,0.6702
552,bird southern england suffer global warm,Yes,1.0
436,ridicul give climat chang denier natur sarah palin discoveri,Yes,0.5906
210,climat chang could rais allergi reuter,Yes,0.5851
589,preliminari analysi suggest natur could contribut global warm previous thought,Yes,1.0
5552,major leagu basebal team throw curv climat chang denier retwt,Yes,1.0
2952,think tank money climat denier climat chang environ,Neutral,0.6128
3113,global warm global warm global warm miss,No,0.6674
3702,three seri challeng commun climat chang,Yes,1.0
656,anoth warmist rescu arctic global warm activist transport,No,1.0
1085,minnesotan global warm threaten declin video respond,Neutral,1.0
4688,frozen margarita becom endang report global climat chang,No,0.6457
4967,fraudster month global warm mean washington examin,Neutral,0.623
2032,california global warm money campaign delay,Neutral,1.0
1400,action protect wildlif habitat climat chang ogdyi climatechang sierraclub saveterra,Yes,1.0
842,basic rule think about begin advertis campaign climat chang clinic trial collagen,Neutral,1.0
5218,global warm research grant danger freez member congress want presid obama freez oohja,Yes,0.3701
2156,report climat indic green blog nytim make climat chang,Neutral,0.6305
5454,alpha alpha take climat chang energi effici black politi retwt,Neutral,0.6787
5967,global warm alarm time world run short reach chaibp,Yes,0.6826
3119,global warm surviv fittest climat agysx awesom evid,Yes,0.6882
4293,there america come climat chang bzvxxx,Neutral,1.0
1792,climat chang avoid trade senat april bloomberg parti activist oohja,Neutral,0.6731
385,obama interview allow china tackl climat chang,Neutral,0.7879
3092,climat chang amazon rainforest retwt,Yes,1.0
881,dunkin workout tenther simpson macbeth countri climat chang censu,Neutral,0.6058
1533,tonight discuss climat chang women children famili commun,Yes,1.0
1105,confirm climat chang anoth display chang occur environment,Yes,1.0
597,volcano unlik global warm richard ingham afpapril eumesat satellit imag,Yes,1.0
3568,global warm go offic toasti climateg,No,1.0
1981,program scream climat chang clinic trial collagen cliniqu cloth,Neutral,1.0
2993,stand copenhagen climat chang secretariat,Neutral,0.6842
5046,would help shovel inch global warm,No,0.6838
5349,climat place senat disput await climat chang legisl,Neutral,0.6879
3033,climat chang hide declin mapl syrup natur retwt,Yes,0.6578
2297,iceland volcano global warm blame iceland volcano erupt radio pquno,Yes,0.6416
2422,lindsey graham democrat quietli move climat chang senat worri,No,1.0
3159,minist climat chang action,Neutral,1.0
3914,pretti former senat warner climat chang secur issu,Yes,0.6713
878,never smile come combat global warm often refrain smile brighten,Neutral,0.597
4670,call climat chang colder warmer weather weirder,Yes,0.6658
5143,offici climat chang scienc delhi talk azhgjn,Neutral,0.6532
5789,scoop sunset loom global warm industri,Neutral,0.649
2535,list peopl school forgot climat chang denier creationist nutjob though,Yes,0.6262
3556,snomg obama admin form climat servic agenc studi report global warm,Yes,0.6779999999999999
3686,behest skelton collin peterson outlaw global warm,Yes,0.665
5696,plate tecton scientif theori global warm evolut destroy famili rais tax,No,1.0
3058,global climat still warm global warm,Yes,1.0
2516,mafia style sound scienc global warm climat chang,No,0.7126
3080,canada wolverin popul declin result climat chang retwt,Yes,0.6443
4761,global warm mockeri video includ recent photo great blizzard,No,0.6537
1439,report claim climat chang blame increas allergi,Neutral,0.6984
657,upset volcano caus global warm climateg,No,0.3983
488,climat chang indic report show evid global warm around,Yes,1.0
1534,boomer tackl global warm anonym boomer enjoy peac larg,Yes,1.0
309,global warm caus volcano erupt jonah goldberg reuter reuter iceland,Yes,0.794
3039,beyond brokenhagen busi climat chang copenhagen,Yes,1.0
5774,global warm problem hopkin global warm problem prove,Yes,1.0
538,global warm implic shorten migrat scienc codex global warm implic shorten,Yes,1.0
4102,fossil fuel climat chang nation threat vladimir redstat includ great chart,Yes,1.0
4854,administr propos agenc studi report global warm washington obama administr oohja,Yes,1.0
3659,bet climat chang corpor stand billion planet realli warm aqtrqc,Neutral,0.7097
2880,australia lose ground climat chang elect near vancouv copenha,Neutral,0.6727
4669,leader moron senat blizzard difficult argu global warm immin danger,No,0.6243
6002,probli climat chang guru get fact wrong iceland volcano,No,0.6737
4691,right winger alreadi claim blizzard prove climat chang exist,Yes,0.6961
4400,global warm peopl tri,No,0.6677
4731,snowstorm global warm make blizzard wors,Yes,1.0
217,swedish expert caus global warm swedish climat expert goldberg,Yes,0.6099
5409,special report network declin credibl climat chang retwt,Neutral,0.6827
3584,follow event bolivia cochabamba world peopl confer climat chang aldpym,Neutral,0.6306
3546,feder climat chang agenc form,Neutral,0.6916
4933,defend conclus landmark climat chang report,Neutral,0.7251
6068,daili ecojustic system chang climat chang violenc bbxekb right elect,Yes,1.0
5360,chanc climat chang legisl christian scienc monitor retwt,Yes,0.6375
1024,sorri accept invit panelist bolivia climat chang talk,Neutral,1.0
1718,survey gaug opinion global warm reiland clair student display poster monday afternoon oohja xbjkd,Neutral,1.0
2500,global warm hysteria obama through ntfig,No,0.65
6081,bird lizard fight climat chang bird lizard import earth,Yes,1.0
618,global warm threaten armenia higher temperatur,Yes,1.0
1200,deni hay founder earth compar global climat chang irish famin irishcentr weather polit,Yes,1.0
3472,month global warm mean washington examin cxymem,Yes,0.6477
3481,blizzard rearrang climat chang announc,Neutral,1.0
5808,climateg scienc clean health independ review scienc climat chang oohja xaofd,Neutral,0.684
1509,global warm ocean chemistri chang faster year carbon cdflgk,Yes,0.9324
655,global warm vostok antarctica forecast,Neutral,0.5794
3744,studi earth scienc undergrad student proven scienc debat global warm,No,1.0
3288,freak weather event caus massiv disrupt convinc congress climat chang problem ifxtg,Yes,0.3496
124,global warm report urg govern brussel belgium world face increas hunger,Yes,1.0
166,go douch climat chang backass world graham imperil obama agenda,Yes,0.8017
3057,logic analysi nich model disprov global warm,No,1.0
2484,societi updat statement human driven climat chang synch geolsoc,Yes,1.0
4224,break between inch global warm coast,Neutral,0.358
2510,world greenest celebr limo pilot mansion global warm climat chang green yiahh,Yes,0.6499
44,global warm baloney accord expert differ weather climat measur,No,0.9368
4875,provid global warm obama administr monday propos nation ocean oohja,Yes,0.6759999999999999
1025,iceland volcano altern energi global warm,Neutral,0.8085
4140,global warm protect shield atlant hurrican increas drought lenpp,Yes,1.0
5025,state climat chang conpiraci control populaton,No,1.0
2728,morn glori morn glori tribbl unbeliev liber blame blizzard global warm idiot,No,1.0
4844,democrat promis global warm vote novemb,No,0.6849
2843,would climat chang,Yes,0.6987
723,connecticut global warm senat candid might assum regardless,Neutral,0.6169
3355,climat chang mother financi risk still pay cost busi onysr,Yes,1.0
4643,inrstg alreadi believ climat chang bxogut cont reason,Yes,1.0
2282,never public polici agenda pursu littl regard scientif public opinion global warm,No,1.0
624,green cement tackl global warm london april increas,Yes,1.0
854,updat energi energi headlin polic climat chang sceptic press,Neutral,0.5787
4756,thousand without power blizzard vote global warm dipshit,No,1.0
5916,energi updat voter global warm serious conservativeactionalert,Neutral,0.6926
684,process danger unless world agre climat chang telegraph,Yes,0.6157
4133,argument peopl global warm climat chang fact logic,Yes,0.5114
1925,save hollywood ballot initi iceland volcano global warm bljotv,Yes,0.6253
3022,globalwarm global warm,Neutral,0.6531
5857,cover volcano answer climat chang question,Yes,0.4857
109,indigen tradit fight climat chang,Neutral,0.5844
1522,global climat chang global warm aclnk,Yes,0.622
568,climat chang quot biden,Yes,0.4157
5510,matter believ global warm better money resourc,Neutral,0.695
4009,error climat chang report ajjxbi,Neutral,0.6483
3225,blizzard climat chang discuss forum climat chang facebook,Neutral,0.6889
46,liber looney toon global warm alarmist come artic frost gather learn,No,1.0
45,comput forens expert still idiot beliv global warm,No,0.9318
2420,hollywood star politician bolivia global warm summit,Yes,0.7018
5847,associ current obama energi offici cathi exploit global warm anivj,Neutral,0.5828
6027,global economi global warm graph attack studi,Neutral,0.6843
1178,combat climat chang lesson world indigen peopl arriv unit nation climat aycviw,Yes,1.0
3122,blizzard proof global warm come eventu,Yes,0.6729
15,govern report global warm caus cancer mental ill cnsnew,Yes,0.75
5128,china fuck climat chang,Yes,0.7267
202,earthday awar consum wast treat place global warm effect,Yes,1.0
2129,impress world climat chang right mother earth pwccc cochabamba,Neutral,1.0
1405,snake come aisl debat dawdl climat chang,Yes,0.6368
243,carbon offset vatican forest fail reduc global warm,Yes,1.0
5937,california river delta need befor disast video climat chang,Yes,1.0
2133,declin global warm video creator backlash effort cleanup climateg indiscret newsbust ahbbpu,Neutral,0.5046
3031,clinton admit fund climat chang addit congress,Neutral,1.0
3148,tackl climat chang achiev strategi,Neutral,0.6944
1767,alexia park global warm heart earth thousand consciou action place oohja xbvfc,Yes,1.0
1347,miss affect futur climat chang dixznl environ,Yes,0.6535
4330,senat unveil april global warm swindl video oohja,No,0.6535
1669,global warm baloney accord expert differ weather climat measur bnrdwh,Yes,0.6387
3017,implic incorpor qualiti benefit climat chang policymak retwt,Yes,0.6268
4850,feder offic global warm grow fight accuraci climat presid obama oohja,Neutral,1.0
974,cnnbrk graham imperil immigr climat chang bill,Neutral,0.865
6052,headlin cowgat expert report claim livestock caus global warm fals azvlx,Neutral,0.662
4537,hous committe seek global warm richard piatt lawmak,Neutral,0.5896
3089,energi absorpt innov climat chang cosmo magazin,Yes,0.6786
131,climat chang increas wave flood washington reuter death wave properti damag,Yes,1.0
1703,make remark launch report advisori group energi climat chang agecc energi develop,Neutral,1.0
4885,uncajo climat chang aymbko,Neutral,0.6687
3961,rate youtub video star hitler behind global warm climateg youtu jgdbhw,No,0.6649
2764,energi climat chang roadmap project decarbonis secur energi suppli cqpvwo,Neutral,0.6676
5408,global warm chapter envnewsnet,Yes,0.6343
2770,major storm washington forc feder close bright global warm,Yes,0.5401
1393,action protect wildlif habitat climat chang ogdyi climatechang sierraclub saveterra,Yes,1.0
5496,spanish compani wake climat chang intern retwt,Yes,1.0
5196,predict futur climat chang sediment environ,Yes,0.6766
1017,volcan erupt global warm lacerta imperfor milwauke suav centrifug,Neutral,0.7931
2146,make climat chang,Yes,0.6686
2322,climat scienc under attack chang narr webinar union concern scientist,Neutral,0.6817
1807,fugelsang climat chang shop advoc ralli support ysenz,Yes,0.6562
1939,global warm jame cameron genocid maniac nolt either jame cameron genocid maniac binnp,Yes,0.6259
5105,parliament member global warm hysteria teaparti,No,1.0
206,health industri nation alreadi impact climat chang report,Yes,0.8221
1924,industri insid michaelangelo acqua global warm michaelangelo acqua first enter stake henwn,Neutral,1.0
60,check video busi climat chang confer,Yes,1.0
272,believ global warm peep think believ instead,Yes,1.0
1609,germani import partner trade fight climat chang,Yes,1.0
5604,weather channel founder want global warm fraud youtub watch mnabh,No,0.7069
5921,celebr earth minut action takea climat chang donat haiti ddoaw,Neutral,0.6432
5629,issu report climat chang indic,Yes,1.0
5911,climat chang documentari never film fame british documentarian,Neutral,0.5736
1607,eaarth global warm dhushj,Yes,1.0
3958,follow through guidanc regard disclosur climat chang risk opportuniti hqoeq,Yes,0.6437
735,legisl steamrol kathryn lopez april bloomberg immigr climat chang legisl,Neutral,0.7927
5190,africa africa contin billion combat climat chang develop countri tinyurl ygynf,Yes,1.0
3874,ef global warm weallgonnadi,No,0.6228
4026,wors experienc crush winter solar climat chang,Yes,0.6555
4307,robert kennedi predict month global warm,Yes,0.6205
4452,effort underway suspend california global warm yfjwz,Neutral,1.0
5893,cool attitud environ global warm recent releas studi public attitud,Neutral,1.0
4088,think agre priu disast prove global warm exist,No,1.0
177,global warm kill forest colorado,Yes,1.0
4535,expert increasingli acid ocean reveal further impact climat chang incontrov dbjniu,Yes,1.0
1086,weathercast divid global warm believ phenomenon exist,Neutral,1.0
5184,solar radiat manag strangelov global warm solar radiat manag oohja,Yes,1.0
2951,despit sceptic climat chang remain prioriti editori comment tinyurl,Yes,1.0
2389,clean pollut commun address climat chang bhwmmz,Yes,1.0
494,exclus climat chang could rais allergi,Yes,1.0
5737,thing attribut global warm,Yes,1.0
